what are bigos?	["Stew"]	["Polish food"]
what did fred durst do?	["Musician"]	["Businessperson", "Actor", "Guitarist", "Musician", "Singer", "Rapper", "Songwriter", "Film Director"]
who won fedex cup 2012?	["Brandt Snedeker"]	["Brandt Snedeker"]
how large is kony army?	["Kony 2012: Part II - Beyond Famous"]	[]
what to do san jose ca?	["San Jose Municipal Rose Garden", "The Tech Museum of Innovation", "Winchester Mystery House", "Japantown", "Downtown San Jose", "Rosicrucian Egyptian Museum", "San Jose Museum of Quilts & Textiles", "San Jose Museum of Art", "Alum Rock Park", "Santana Row"]	["Children's Discovery Museum of San Jose", "San Jose Museum of Quilts & Textiles", "San Jose Museum of Art", "Rosicrucian Egyptian Museum", "The Tech Museum of Innovation", "San Jose Municipal Rose Garden", "Winchester Mystery House", "Santana Row", "Kelley Park", "Happy Hollow Park & Zoo", "Alum Rock Park", "Downtown San Jose", "Japantown"]
who voiced darth vader?	["James Earl Jones"]	["Matt Sloan"]
who played cletus hogg?	["Jack Polick"]	["Jack Polick"]
where is jay leno from?	["New Rochelle"]	["New Rochelle"]
who is sir james dyson?	["Designer", "Industrial designer", "Engineer", "Inventor"]	["Designer", "Inventor", "Engineer", "Industrial designer"]
what was goebbels role?	["After Hitler's coup in 1933, Goebbels was named Reich Minister for Public Enlightenment and Propaganda and president of the newly-formed Chamber of Culture, which gave him total control over Germany's media."]	["Holdine Kathrin Goebbels", "Helga Susanne Goebbels", "Heidrun Elisabeth Goebbels", "Helmut Christian Goebbels", "Hildegard Traudel Goebbels", "Hedwig Johanna Goebbels"]
where does bronx begin?	["Yankee Stadium"]	["New York City", "New York", "United States of America"]
who plays spike spiegel?	["Steven Blum", "Koichi Yamadera"]	["Koichi Yamadera", "Steven Blum"]
where is walton indiana?	["Indiana", "Cass County", "United States of America", "Tipton Township"]	["United States of America", "Indiana", "Cass County", "Tipton Township"]
who has ray allen dated?	["Shannon Walker Williams"]	["Boston Celtics", "Connecticut Huskies men's basketball", "Seattle Supersonics", "Milwaukee Bucks", "Miami Heat"]
what inspired steinbeck?	["William Faulkner", "Robert Burns", "Sherwood Anderson", "Thomas Malory"]	["William Faulkner", "Robert Burns", "Sherwood Anderson", "Thomas Malory"]
who were jesus siblings?	["Jude the Apostle", "James the Just", "Simon (brother of Jesus)", "Joses"]	["King of Kings", "Jesus College, Cambridge", "Infant Jesus Polytechnic College", "Jesus College, Oxford", "Society of Jesus", "Basilica of Bom Jesus", "Cora\u00e7\u00e3o de Jesus", "Basilica of Bom Jesus", "Jesus College Boat Club", "Church Dulce Nombre de Jesus of Humacao", "The Church of Jesus Christ of Latter-day Saints in Tennessee", "The Church of Jesus Christ of Latter-day Saints in Oklahoma", "The Church of Jesus Christ of Latter-day Saints in Texas", "The Church of Jesus Christ of Latter-day Saints in Michigan", "The Church of Jesus Christ of Latter-day Saints in Alabama", "The Church of Jesus Christ of Latter-day Saints in Georgia", "The Church of Jesus Christ of Latter-day Saints in California", "The Church of Jesus Christ of Latter-day Saints in South Carolina", "The Church of Jesus Christ of Latter-day Saints in Florida", "The Church of Jesus Christ of Latter-day Saints in Arizona", "The Church of Jesus Christ of Latter-day Saints in North Carolina", "The Church of Jesus Christ of Latter-day Saints in Connecticut", "The Church of Jesus Christ of Latter-day Saints in New Mexico", "The Church of Jesus Christ of Latter-day Saints in Idaho", "The Church of Jesus Christ of Latter-day Saints in the District of Columbia", "Holy Name of Jesus Parish", "Sacred Heart of Jesus Rectory", "Jesus Good Shepherd School", "Bom Jesus Da Lapa Airport", "Bom Jesus do Amparo", "Holy Jesus Hospital", "Center of Jesus the Lord", "Sant\u00edssimo Nome de Jesus", "Santo Ant\u00f4nio de Jesus", "Bom Jesus funicular", "Jesus Church", "Bom Jesus do Itabapoana", "Bom Jesus do Tocantins", "Cathedral Dulce Nombre de Jesus", "Cathedral of the Sacred Heart of Jesus", "Franciscan Church of St Mary of Jesus", "Jesus Mar\u00eda", "Fort Jesus", "Church of the Sacred Heart of Jesus and St Cuthbert", "Sacred Heart of Jesus Catholic School", "Iglesia de Jes\u00fas de Miramar", "Bom Jesus do Monte", "Co-Cathedral of Saint Theresa of the Child Jesus", "Church of Jesus Christ Restored 1830", "Sacred Heart Cathedral, Sarajevo", "Colegio del Sagrado Corazon de Jesus", "Holy Name of Jesus Catholic Church", "Jesus Trail", "Est\u00e1dio Bom Jesus da Lapa", "Bom Jesus, Rio Grande do Sul", "Jesus the True Vine Christian Fellowship", "Bom Jesus dos Perd\u00f5es", "Infant Jesus Academy of Silang", "Pirapora do Bom Jesus", "Basilica of the Sacred Heart of Jesus", "All Saints Church, Cambridge", "Bom Jesus da Lapa", "Bom Jesus do Norte", "Roman Catholic Diocese of Bom Jesus do Gurgu\u00e9ia", "Jesus Maria Colonia", "Jesus Marie Convent", "General de Jesus College", "Bom Jesus da Penha", "Church of the Society of Jesus", "Holy Name of Jesus Complex", "Jesus de Huenuraqu\u00ed", "Cora\u00e7\u00e3o de Jesus", "Holy Name of Jesus Parish", "Bom Jesus, Icolo e Bengo", "Church of Jesus Christ of Latter-day Saints", "Jesus Church, Valby", "El Rey Jes\u00fas", "Infant Jesus School, Thiruvambady", "Iglesia Cat\u00f3lica Sagrado Coraz\u00f3n de Jesus", "Church of the Sacred Heart of Jesus", "Jesus Church", "Church of Jesus, Riga", "Jesus is Lord Church", "Jesus Maria", "Jesus Lock", "Jesus Green", "Sacred Heart of Jesus Parish, Easthampton", "Holy Name of Jesus Roman Catholic Church", "Rancho Rio de Jesus Maria", "Augustinian Province of the Most Holy Name of Jesus of the Philippines", "Bom Jesus de Goi\u00e1s", "Church of the Sacred Heart of Jesus", "Holy Name of Jesus Church in San Francisco", "Jesus & Mary College", "Holy Child Jesus College", "Child Jesus College of Nursing", "Sacred Heart Church", "Monastery of Jesus of Set\u00fabal", "Holy Name of Jesus Church", "Jesus Lifehouse International Church", "Santu\u00e1rio do Bom Jesus de Matosinhos", "Most Holy Name of Jesus Church"]
where are samsung based?	["Seoul"]	["Seoul"]
where was st. lucy born?	["Syracuse"]	["Syracuse"]
who is keyshia cole dad?	["Leon Cole"]	["Singer-songwriter", "Actor", "Singer", "Artist"]
what can do in new york?	["Central Park"]	["United Nations Headquarters", "Statue of Liberty", "Brooklyn Botanic Garden", "American Museum of Natural History", "Museum of Modern Art", "Rockefeller Center", "Chelsea Art Museum", "Solomon R. Guggenheim Museum", "George Gustav Heye Center", "Metropolitan Museum of Art", "Central Park", "St. Patrick's Cathedral", "The Cloisters", "National Academy of Design", "Empire State Building", "Wave Hill", "American Folk Art Museum", "Darien Lake", "Morgan Library", "Museum of Modern Art", "Brooklyn Bridge", "Andrew Carnegie Mansion", "The Broadway Theatre", "Henry Clay Frick House", "Madison Square Garden", "Japan Society of New York", "Felix M. Warburg House", "Grand Central Terminal", "International Center of Photography", "Statue of Liberty National Monument, Ellis Island and Liberty Island", "Staten Island Ferry", "Theodore Roosevelt Birthplace National Historic Site", "FusionArts Museum", "Museum of Arts and Design", "Louis Armstrong House", "Museum of Mathematics", "Franklin D. Roosevelt Presidential Library and Museum", "A.I.R. Gallery", "Freedomland U.S.A."]
what timezone is sweden?	["Central European Time"]	["UTC+01:00", "Central European Time"]
where english is spoken?	["Canada", "Australia", "South Africa", "Zambia", "United Kingdom", "Zimbabwe", "Uganda", "New Zealand", "Turks and Caicos Islands", "Tanzania"]	["United Kingdom", "United States of America", "Australia", "Canada", "Kingdom of Great Britain", "Ireland", "New Zealand"]
where is the city wales?	["United Kingdom", "United Kingdom, with Dependencies and Territories"]	["Cardiff"]
what did drita find out?	["Football Superleague of Kosovo"]	[]
where was john jay born?	["New York City"]	["New York City"]
what killed john bonham?	["Inhalation of vomit"]	["Inhalation of vomit"]
where is tunis on a map?	["Tunisia", "Africa", "Tunis Governorate"]	["Africa", "Tunisia", "Tunis Governorate"]
who was stephen r covey?	["Management", "Author", "Consultant", "Professor", "Writer", "Motivational speaking"]	["Professor", "Management", "Writer", "Author", "Consultant", "Motivational speaking"]
who was tupac signed to?	["Death Row Records", "Amaru Entertainment", "Interscope Records"]	["Amaru Entertainment", "Interscope Records", "Death Row Records"]
who brad pitt has dated?	["Angelina Jolie", "Robin Givens", "Jennifer Aniston", "Gwyneth Paltrow", "Juliette Lewis", "Sinitta", "Thandie Newton", "Shalane McCall", "Jill Schoelen"]	["Angelina Jolie", "Shalane McCall", "Jill Schoelen", "Jennifer Aniston", "Thandie Newton", "Gwyneth Paltrow", "Sinitta", "Robin Givens", "Juliette Lewis"]
what capital of austria?	["Vienna"]	["Vienna"]
when is venus brightest?	["Western astrology"]	[]
what to visit in denver?	["Black American West Museum & Heritage Center", "Denver Firefighters Museum", "Colorado State Capitol", "Denver Mint", "Molly Brown House", "Forney Transportation Museum", "Denver Botanic Gardens", "Museum of Contemporary Art Denver", "Denver Museum of Nature and Science", "Chamberlin Observatory"]	["Children's Museum of Denver", "Forney Transportation Museum", "Molly Brown House", "Denver Museum of Nature and Science", "Westin Westminster", "Denver Firefighters Museum", "Denver Botanic Gardens", "Elitch Gardens", "Colorado State Capitol", "Frederic C. Hamilton Building", "North Building", "Denver Mint", "Chamberlin Observatory", "Museum of Contemporary Art Denver", "Black American West Museum & Heritage Center"]
what is newcastle metro?	["Tyne and Wear"]	["Tyne and Wear Metro"]
where is south portland?	["United States of America", "Maine", "Cumberland County"]	["Maine", "United States of America", "Cumberland County"]
where is belgium germany?	["Western Europe"]	[]
what was kim richards in?	["The Car", "Escape to Witch Mountain", "Tuff Turf", "Black Snake Moan", "Race to Witch Mountain", "Devil Dog: The Hound of Hell", "No Deposit, No Return", "Return from Witch Mountain", "Meatballs Part II"]	["Presenter", "Actor"]
who was anakin skywalker?	["Darth Vader"]	["Matt Lanter"]
what timezone is utah in?	["Mountain Time Zone"]	["Mountain Time Zone", "UTC\u221207:00"]
where did frank baum die?	["Hollywood"]	["Hollywood"]
where was rihanna raised?	["Saint Michael Parish", "Barbados"]	["Saint Michael Parish"]
who is emma stone father?	["Jeff Stone"]	["Krista Stone", "Jeff Stone"]
where does tim cook work?	["Apple Inc."]	["Apple Store", "Apple Inc."]
where did robin cook die?	["Inverness"]	["Inverness"]
who plays stanley hudson?	["Leslie David Baker"]	["Leslie David Baker"]
who were wright brothers?	["Orville Wright", "Wilbur Wright"]	["Wilbur Wright", "Orville Wright"]
where is jason mraz from?	["Mechanicsville"]	["Mechanicsville"]
what to visit in atlanta?	["Philips Arena", "Georgia Dome", "Omni Coliseum", "Zoo Atlanta", "Grant Park", "Castleberry Hill", "Atlanta-Fulton County Stadium", "Little Five Points", "Turner Field", "Buckhead"]	["Zoo Atlanta", "Margaret Mitchell House & Museum", "Georgia Dome", "Atlanta History Center", "Atlanta Symphony Orchestra", "CNN Center", "Fernbank Science Center", "Turner Field", "Georgia Aquarium", "Six Flags Over Georgia", "Fox Theatre", "Jimmy Carter Library and Museum", "Atlanta Cyclorama & Civil War Museum", "Centennial Olympic Park", "World of Coca-Cola", "Woodruff Arts Center", "Six Flags White Water", "Martin Luther King, Jr., National Historic Site", "Fernbank Museum of Natural History", "Atlanta Ballet"]
where is roswell area 51?	["Roswell"]	["Nevada", "Lincoln County"]
who was esther's husband?	["Susa"]	[]
where is chris rock from?	["Andrews"]	["Andrews"]
what did st augustine do?	["Physician", "Writer", "Philosopher"]	["St. Augustine Alligator Farm Zoological Park", "St. Augustine Light", "Fort Matanzas National Monument", "Lightner Museum", "Fountain of Youth Archaeological Park", "Gonz\u00e1lez-Alvarez House", "O'Reilly House", "Fort Mose Historic State Park", "Old St. Johns County Jail", "Anastasia State Park", "Castillo de San Marcos"]
what is houston timezone?	["Central Time Zone"]	[]
what channel saints game?	["Australian rules football"]	["Australian rules football"]
where is chris paul from?	["United States of America"]	["Lewisville"]
what is modern day judah?	["Jerusalem"]	["Monarchy"]
what time in hilo hawaii?	["Hawaii\u2013Aleutian Time Zone"]	["Hawaii\u2013Aleutian Time Zone"]
who is sir francis bacon?	["Philosopher"]	["Spy", "Scientist", "Author", "Philosopher", "Statesman"]
when do world war ii end?	["1942"]	["1945-09-02"]
where did mary bell live?	["Newcastle upon Tyne"]	["England"]
who was carolus linnaeus?	["Botanist"]	["Scientist", "Botanist", "Physician", "Biologist"]
what is the nigeria time?	["West Africa Time", "UTC+01:00"]	[]
who is the voice of kitt?	["Val Kilmer"]	["William Daniels"]
where did cs lewis wrote?	["Belfast"]	["Oxford"]
what does bolivia border?	["Brazil"]	["Brazil", "Argentina", "Peru", "Chile", "Paraguay"]
what team did howie long?	["Villanova Wildcats football", "Oakland Raiders"]	["Oakland Raiders", "Villanova Wildcats football"]
where is tennessee river?	["Tennessee"]	["United States of America"]
where is burundi country?	["Africa"]	["Africa"]
who did ben stiller date?	["Christine Taylor"]	["Jeanne Tripplehorn", "Janeane Garofalo", "Amanda Peet", "Calista Flockhart"]
what war did hitler lose?	["World War II"]	["World War I"]
what money does cuba use?	["Cuban peso", "Cuban convertible peso"]	["Cuban peso", "Cuban convertible peso"]
who was ulysses s. grant?	["Lieutenant-General"]	["Politician", "Military Officer", "Soldier"]
who is richard pryor son?	["Franklin Pryor", "Steven Pryor", "Richard Pryor Jr.", "Rain Pryor", "Kelsey Pryor", "Elizabeth Pryor", "Renee Pryor"]	["Elizabeth Pryor", "Rain Pryor", "Kelsey Pryor", "Franklin Pryor", "Richard Pryor Jr.", "Steven Pryor"]
where do john lennon die?	["New York City"]	["New York City"]
what did jesse owens won?	["Associated Press Male Athlete of the Year"]	["Athlete"]
what book did tupac write?	["The Rose That Grew from Concrete"]	["Tupac", "The rose that grew from concrete", "Tupac", "Tupac", "The Rose That Grew from Concrete"]
where is denmark situated?	["Euroregion Baltic"]	["Europe", "Eurasia"]
what country was slovakia?	["Czechoslovakia"]	["Hungary", "Poland", "Austria", "Czech Republic", "Ukraine"]
who's dating claire danes?	["Hugh Dancy"]	["Actor", "Voice Actor"]
who is michael j fox wife?	["Tracy Pollan"]	["Tracy Pollan"]
what team does jordan own?	["Jordan national football team"]	["Jordan national football team", "Al-Wehdat SC"]
what happened at benghazi?	["2012 U.S. diplomatic missions attacks", "2012 U.S. Consulate attack in Benghazi", "First Battle of Benghazi", "Second Battle of Benghazi"]	["Nine Muses", "House of Jason Magnus", "Temple of Apollo", "Stoa of Hermes"]
who did paul revere marry?	["Sarah Revere"]	["Paul Revere", "Paul Revere"]
where did kim jong il die?	["Pyongyang"]	["Pyongyang"]
what city is mt lassen in?	["Shasta County"]	["Volcano", "Lava dome"]
who is shakira married to?	["Gerard Piqu\u00e9"]	["Antonio de la R\u00faa", "Gerard Piqu\u00e9"]
what is armenian currency?	["Armenian dram"]	["Intellectual capital revisited (and why we should care)", "A Nation of Counterfeiters: Capitalists, Con Men, and the Making of the United States"]
what year does hitler die?	["Hitler and His Generals: Military Conferences 1942-1945"]	["Suicide", "Gunshot"]
who is dirk nowitzki wife?	["Jessica Olsson"]	["Jessica Olsson"]
what money does spain use?	["Euro"]	["Euro"]
what would ap xin zhao do?	["Male"]	[]
who are china's neighbors?	["Pakistan", "Kyrgyzstan", "Myanmar", "Bhutan", "Afghanistan", "Tajikistan", "India", "Mongolia", "Laos", "Kazakhstan"]	["Nepal", "Japan", "India", "Russia", "Kazakhstan", "Mongolia", "North Korea", "Indochina", "Oudomxay Province", "Phongsaly Province", "Vietnam", "Myanmar", "Pakistan", "Taiwan", "Afghanistan", "Laos", "Kyrgyzstan", "Tajikistan", "Bhutan", "Luang Namtha Province"]
where is walton county ga?	["Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area", "Georgia"]	["Georgia", "Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area"]
which island is kailua on?	["Hawaii"]	["Island, IS"]
where did madonna grew up?	["Bay City"]	["New York City"]
where did al qaeda attack?	["Iraq War"]	["September 11 attacks"]
who plays knox overstreet?	["Josh Charles"]	["Josh Charles"]
where is electrolux based?	["Stockholm"]	["Stockholm"]
who has played lex luthor?	["Anthony LaPaglia", "Kevin Spacey", "Clancy Brown", "James Marsters", "Gene Hackman"]	["James Marsters", "Kevin Spacey", "Gene Hackman", "Anthony LaPaglia", "Chris Noth", "Clancy Brown", "Powers Boothe"]
where was st peter killed?	["Rome"]	["Rome"]
what did thomas hobbes do?	["Political philosophy"]	["Philosopher"]
who played alf on tv show?	["Paul Fusco"]	["Paul Fusco"]
where do italy people live?	["Italy"]	["Rome"]
where did jay moriarty die?	["Maldives"]	["Maldives"]
what does julian lennon do?	["Singer", "Writer", "Guitarist", "Musician", "Actor", "Singer-songwriter", "Record producer"]	["Singer-songwriter", "Actor", "Guitarist", "Musician", "Singer", "Writer", "Record producer"]
what did thomas malthus do?	["Mathematician", "Demographer", "Scientist", "Economist"]	["Scientist", "Economist", "Mathematician", "Demographer"]
where was terry waite born?	["Bollington"]	["Bollington"]
where is perpignan located?	["France"]	["France", "Languedoc-Roussillon", "Pyr\u00e9n\u00e9es-Orientales"]
what is rihanna mum called?	["Monica Braithwaite"]	[]
who was demi lovato dating?	["Joe Jonas"]	["Singer-songwriter", "Actor", "Musician", "Model"]
where do flemish come from?	["Belgium"]	[]
where do they speak german?	["Canada", "German Democratic Republic", "Luxembourg", "Switzerland", "Liechtenstein", "Germany", "West Germany", "Belgium", "Vatican City", "Second Polish Republic"]	["Germany"]
what did elliot stabler do?	["Law & Order: Special Victims Unit", "New York City Police Department"]	["Detective"]
where did thomas paine die?	["New York City"]	["New York City"]
where is byron nelson 2012?	["Roanoke"]	["Waxahachie"]
where is bob marley buried?	["Bob Marley Mausoleum"]	["Bob Marley Mausoleum"]
who played elaine the pain?	["Julia Louis-Dreyfus"]	["Alexandra Feodorovna"]
who does japan import from?	["Canada", "Sudan", "Tanzania", "United States of America", "Kiribati", "New Zealand"]	["United States of America", "Canada", "Sudan", "Tanzania", "New Zealand", "Kiribati"]
how many mary mary sisters?	["Erica Campbell", "Tina Campbell"]	["1"]
who is president of israel?	["Shimon Peres"]	["Chaim Herzog", "Zalman Shazar", "Yitzhak Navon", "Shimon Peres", "Ephraim Katzir", "Ezer Weizman", "Chaim Weizmann", "Yitzhak Ben-Zvi", "Moshe Katsav"]
what did john irving wrote?	["Trying to Save Piggy Sneed", "The Fourth Hand", "The Cider House Rules", "The 158-Pound Marriage", "The World According to Garp", "The Hotel New Hampshire", "A Widow for One Year", "A Prayer for Owen Meany", "The Water-Method Man", "Until I Find You"]	["The Fourth Hand", "A Son of the Circus"]
when did the lakers 3 peat?	["2000"]	["1988 NBA Finals", "2009 NBA Finals", "1985 NBA Finals", "1982 NBA Finals", "1987 NBA Finals", "2010 NBA Finals", "1980 NBA Finals", "2002 NBA Finals", "2000 NBA Finals", "2001 NBA Finals", "1954 NBA Finals", "1953 NBA Finals", "1952 NBA Finals", "1949 BAA Finals", "1948 NBL Finals", "1950 NBA Finals", "1972 NBA Finals"]
what language brazil speak?	["Brazilian Portuguese", "Portuguese Language", "Italian Language"]	["Portuguese Language"]
who does lee clark manager?	["Birmingham City F.C."]	["Sunderland A.F.C."]
where is taylor swift from?	["Reading"]	["Reading"]
where obama went to school?	["Occidental College", "Harvard Law School", "Noelani Elementary School", "Punahou School", "State Elementary School Menteng 01", "St. Francis of Assisi Catholic School", "Columbia University"]	["United States of America", "Camden", "New Jersey"]
who plays blaine in batman?	["Him/Herself"]	["Kevin Conroy", "Val Kilmer", "Michael Keaton", "Will Friedle", "Will Arnett", "Charles Stanley", "Peter Weller", "George Clooney", "Rino Romano", "William Baldwin", "Jason Sudeikis", "Benjamin McKenzie", "Sam Rockwell", "Christian Bale", "Bruce Greenwood", "Adam West", "Ike Barinholtz", "Jing Abalos", "Joe Krajcar"]
where is laos in world map?	["Cambodia"]	["Southeast Asia", "Asia", "Eurasia"]
what county is utica ny in?	["Oneida County"]	["Oneida County"]
when is st joseph birthday?	["March 19"]	["Missouri Western State University", "Hillyard Technical Ctr.", "Patee House", "Patee Town Historic District", "Robidoux Row", "St. Joseph Female College", "Missouri Theater and Missouri Theater Building", "Buchanan County Courthouse", "German-American Bank Building", "Edmond Jacques Eckel House", "Missouri Valley Trust Company Historic District", "Jesse James Home Museum", "Vatterott College, Saint Joseph, Missouri", "Pony Express Stables", "American College of Technology", "Cafe Acoustic", "Hollywood 10", "Wholesale Row", "Hall Street Historic District"]
where does sami yusuf live?	["United Kingdom"]	["Tehran"]
what jamaican money called?	["United States dollar"]	["Evoke"]
